table_name,col_name,Cluster
BKPF,AEDAT,D
BKPF,ARCID,A
BKPF,AWKEY,A
BKPF,AWTYP,A
BKPF,BASW2,A
BKPF,BASW3,A
BKPF,BELNR,A
BKPF,BKTXT,A
BKPF,BLART,A
BKPF,BLDAT,D
BKPF,BSTAT,A
BKPF,BUDAT,D
BKPF,BUKRS,D
BKPF,BVORG,A
BKPF,CPUDT,D
BKPF,CPUTM,C
BKPF,CURT2,A
BKPF,DBBLG,A
BKPF,DOKID,A
BKPF,FIKRS,A
BKPF,FRATH,D
BKPF,GJAHR,D
BKPF,GLVOR,A
BKPF,GRPID,A
BKPF,HWAE2,D
BKPF,HWAE3,D
BKPF,HWAER,D
BKPF,IBLAR,A
BKPF,KURS2,D
BKPF,KURS3,D
BKPF,KURSF,D
BKPF,KZKRS,D
BKPF,KZWRS,D
BKPF,MANDT,D
BKPF,MONAT,D
BKPF,STBLG,A
BKPF,STJAH,D
BKPF,STODT,D
BKPF,TCODE,A
BKPF,UMRD2,A
BKPF,UMRD3,A
BKPF,UPDDT,D
BKPF,USNAM,A
BKPF,WAERS,D
BKPF,WWERT,D
BKPF,XBLNR,A
BKPF,XMWST,A
BKPF,XNETB,A
BKPF,XRUEB,A
BKPF,XSTOV,A
EBAN,AFNAM,A
EBAN,BADAT,D
EBAN,BANFN,C
EBAN,BEDNR,A
EBAN,BNFPO,D
EBAN,BSAKZ,A
EBAN,BSART,A
EBAN,BSTYP,A
EBAN,BUMNG,D
EBAN,EKGRP,A
EBAN,EKORG,A
EBAN,EMATN,A
EBAN,ERDAT,D
EBAN,ERNAM,A
EBAN,ESTKZ,A
EBAN,FLIEF,A
EBAN,FRGDT,D
EBAN,FRGKZ,A
EBAN,FRGST,A
EBAN,FRGZU,A
EBAN,INFNR,A
EBAN,KFLAG,A
EBAN,KNTTP,A
EBAN,KONNR,A
EBAN,KTPNR,D
EBAN,KZVBR,A
EBAN,LFDAT,D
EBAN,LGORT,A
EBAN,LIFNR,A
EBAN,LOEKZ,A
EBAN,LPEIN,A
EBAN,MANDT,D
EBAN,MATKL,A
EBAN,MATNR,A
EBAN,MEINS,D
EBAN,MENGE,D
EBAN,PEINH,D
EBAN,PREIS,D
EBAN,PSTYP,A
EBAN,REPOS,A
EBAN,RESWK,A
EBAN,STATU,A
EBAN,TWRKZ,A
EBAN,TXZ01,A
EBAN,VRTKZ,A
EBAN,VRTYP,A
EBAN,WEBAZ,D
EBAN,WEPOS,A
EBAN,WERKS,A
EBAN,WEUNB,A
EKKO,ABGRU,A
EKKO,AEDAT,D
EKKO,ANGDT,D
EKKO,ANGNR,A
EKKO,AUSNR,A
EKKO,AUTLF,A
EKKO,BEDAT,D
EKKO,BNDDT,D
EKKO,BSAKZ,A
EKKO,BSART,A
EKKO,BSTYP,A
EKKO,BUKRS,A
EKKO,BWBDT,D
EKKO,EBELN,B
EKKO,EKGRP,A
EKKO,EKORG,A
EKKO,ERNAM,A
EKKO,GWLDT,D
EKKO,IHRAN,D
EKKO,IHREZ,A
EKKO,INCO1,A
EKKO,INCO2,A
EKKO,KDATB,D
EKKO,KDATE,D
EKKO,KONNR,A
EKKO,KTWRT,D
EKKO,KUFIX,A
EKKO,KUNNR,A
EKKO,LBLIF,A
EKKO,LIFNR,A
EKKO,LLIEF,A
EKKO,LOEKZ,A
EKKO,LPONR,D
EKKO,MANDT,D
EKKO,PINCR,D
EKKO,RESWK,A
EKKO,SPRAS,D
EKKO,STATU,A
EKKO,SUBMI,A
EKKO,TELF1,A
EKKO,VERKF,A
EKKO,WAERS,D
EKKO,WEAKT,A
EKKO,WKURS,D
EKKO,ZBD1P,D
EKKO,ZBD1T,D
EKKO,ZBD2P,D
EKKO,ZBD2T,D
EKKO,ZBD3T,D
EKKO,ZTERM,A
LIKP,ABLAD,A
LIKP,ANZPK,D
LIKP,AUTLF,A
LIKP,BEROT,A
LIKP,BTGEW,D
LIKP,BZIRK,A
LIKP,ERDAT,D
LIKP,ERNAM,A
LIKP,ERZET,D
LIKP,EXPKZ,A
LIKP,FAKSK,A
LIKP,FKARV,A
LIKP,FKDAT,D
LIKP,GEWEI,D
LIKP,GRULG,A
LIKP,INCO1,A
LIKP,INCO2,A
LIKP,KDGRP,A
LIKP,KNFAK,A
LIKP,KODAT,D
LIKP,KUNAG,A
LIKP,KUNNR,A
LIKP,KZAZU,A
LIKP,LDDAT,D
LIKP,LFART,A
LIKP,LFDAT,D
LIKP,LFUHR,D
LIKP,LIFSK,A
LIKP,LPRIO,D
LIKP,LSTEL,A
LIKP,MANDT,D
LIKP,NTGEW,D
LIKP,PERFK,A
LIKP,ROUTA,A
LIKP,ROUTE,A
LIKP,STAFO,A
LIKP,STZKL,D
LIKP,STZZU,D
LIKP,TDDAT,D
LIKP,TPGRP,A
LIKP,TPQUA,A
LIKP,TRAGR,A
LIKP,VBELN,B
LIKP,VBTYP,A
LIKP,VKORG,A
LIKP,VOLEH,D
LIKP,VOLUM,D
LIKP,VSBED,A
LIKP,VSTEL,A
LIKP,WADAT,D
MKPF,AEDAT,D
MKPF,AWSYS,A
MKPF,BFWMS,A
MKPF,BKTXT,A
MKPF,BLA2D,A
MKPF,BLART,D
MKPF,BLAUM,A
MKPF,BLDAT,D
MKPF,BUDAT,D
MKPF,CPUDT,D
MKPF,CPUTM,D
MKPF,EXNUM,A
MKPF,FLS_RSTO,A
MKPF,FRATH,D
MKPF,FRBNR,A
MKPF,GTS_CUSREF_NO,A
MKPF,KNUMV,A
MKPF,LE_VBELN,A
MKPF,LFSNR,A
MKPF,MANDT,D
MKPF,MBLNR,C
MKPF,MJAHR,D
MKPF,MSR_ACTIVE,A
MKPF,OIB_BLTIME,D
MKPF,SPE_BUDAT_UHR,D
MKPF,SPE_BUDAT_ZONE,A
MKPF,SPE_LOGSYS,A
MKPF,SPE_MDNUM_EWM,A
MKPF,TCODE,A
MKPF,TCODE2,A
MKPF,TICKET_KEY,A
MKPF,USNAM,A
MKPF,VGART,D
MKPF,WEVER,A
MKPF,XABLN,A
MKPF,XBLNR,A
RBKP,ARKUEMW,D
RBKP,ARKUEN,D
RBKP,BELNR,B
RBKP,BEZNK,D
RBKP,BKTXT,A
RBKP,BLART,A
RBKP,BLDAT,D
RBKP,BUDAT,D
RBKP,BUKRS,A
RBKP,CPUDT,D
RBKP,CPUTM,D
RBKP,GJAHR,D
RBKP,IVTYP,A
RBKP,KNUMVE,A
RBKP,KNUMVL,A
RBKP,KURSF,D
RBKP,LIEFFMW,D
RBKP,LIEFFN,D
RBKP,LIFNR,A
RBKP,LOGSYS,A
RBKP,MAKZMW,D
RBKP,MAKZN,D
RBKP,MANDT,D
RBKP,MWSKZ1,A
RBKP,MWSKZ2,A
RBKP,MWSKZ_BNK,A
RBKP,RBSTAT,A
RBKP,REPART,A
RBKP,RMWWR,D
RBKP,SAPRL,A
RBKP,STBLG,A
RBKP,STJAH,D
RBKP,TCODE,A
RBKP,TXJCD_BNK,A
RBKP,USNAM,A
RBKP,VGART,A
RBKP,WAERS,D
RBKP,WMWST1,D
RBKP,WMWST2,D
RBKP,WSKTO,D
RBKP,XBLNR,A
RBKP,XMWST,A
RBKP,XRBTX,A
RBKP,XRECH,A
RBKP,ZBD1P,D
RBKP,ZBD1T,D
RBKP,ZBD2P,D
RBKP,ZBD2T,D
RBKP,ZBD3T,D
RBKP,ZTERM,A
VBAK,ANGDT,D
VBAK,AUDAT,D
VBAK,BNDDT,D
VBAK,ERDAT,D
VBAK,ERNAM,A
VBAK,ERZET,D
VBAK,MANDT,D
VBAK,VBELN,B
VBAK,VBTYP,A
VBRK,BELNR,A
VBRK,BUKRS,A
VBRK,BZIRK,A
VBRK,CITYC,A
VBRK,COUNC,A
VBRK,CPKUR,A
VBRK,ERDAT,D
VBRK,ERNAM,A
VBRK,ERZET,D
VBRK,EXPKZ,A
VBRK,FKART,A
VBRK,FKDAT,D
VBRK,FKTYP,A
VBRK,GJAHR,D
VBRK,INCO1,A
VBRK,INCO2,A
VBRK,KALSM,A
VBRK,KDGRP,A
VBRK,KNUMV,B
VBRK,KONDA,A
VBRK,KTGRD,A
VBRK,KURRF,D
VBRK,LAND1,A
VBRK,MANDT,D
VBRK,MRNKZ,A
VBRK,NETWR,D
VBRK,PLTYP,A
VBRK,POPER,D
VBRK,REGIO,A
VBRK,RFBSK,A
VBRK,TAXK1,A
VBRK,TAXK2,A
VBRK,TAXK3,A
VBRK,TAXK4,A
VBRK,TAXK5,A
VBRK,TAXK6,A
VBRK,TAXK7,A
VBRK,TAXK8,A
VBRK,TAXK9,A
VBRK,VALDT,D
VBRK,VALTG,D
VBRK,VBELN,B
VBRK,VBTYP,A
VBRK,VKORG,A
VBRK,VSBED,A
VBRK,VTWEG,A
VBRK,WAERK,D
VBRK,ZLSCH,A
VBRK,ZTERM,A
VBRK,ZUKRI,A
